STT;Mảng nội dung;;Nội dung câu hỏi;Phương án A;Phương án B;Phương án C;Phương án D;Đáp án đúng;Văn bản tham chiếu/ thuyết minh;Điều khoản;;;;;;;;;;;;;;;
17;III.3 Điện toán đám mây;;Mô hình triển khai nào là sự kết hợp giữa đám mây dùng riêng (Private Cloud) và đám mây công cộng (Public Cloud)?;"Đám mây công đồng
(Community Cloud)";"Đa đám mây
(Multi-Cloud)";"Đám mây lai
(Hybrid Cloud)";"Đám mây bản địa
(Local Cloud)";C;;;;;;;;;;;;;;;;;
18;III.3 Điện toán đám mây;;Chương trình phát triển Chính phủ số được Thủ tướng Chính phủ phê duyệt tại Quyết định số 2629/QĐ-TTg ngày 01/12/2025 yêu cầu xây dựng nền tảng điện toán đám mây với mục tiêu gì?;Chỉ phục vụ doanh nghiệp tư nhân;Cung cấp tài nguyên tính toán tập trung, hiệu năng cao;Chỉ lưu trữ dữ liệu mật của Chính phủ;Chỉ phục vụ các hệ thống cấp xã;B;Quyết định 2629/QĐ-TTg ngày 01/12/2025 của Thủ tướng Chính phủ;Mục III.4;;;;;;;;;;;;;;;
19;III.3 Điện toán đám mây;;Theo Quyết định số 2629/QĐ-TTg ngày 01/12/2025 của Thủ tướng Chính phủ phê duyệt Chương trình phát triển Chính phủ số, đơn vị nào chủ trì nội dung xây dựng Trung tâm Dữ liệu quốc gia và nền tảng điện toán đám mây thống nhất, hiệu năng cao?;Bộ Công an;Các bộ, ngành, địa phương;Ban Cơ yếu Chính phủ;Bộ Khoa học và Công nghệ;A;Theo Quyết định 2629/QĐ-TTg;Phụ lục II/Mục IV/Stt3;;;;;;;;;;;;;;;
20;III.3 Điện toán đám mây;;Trách nhiệm của các tổ chức, cá nhân ký kết hợp đồng có liên quan tới xử lý dữ liệu cá nhân với các tổ chức cung cấp dịch vụ điện toán đám mây?;Không có quy định;"Cung cấp thông tin về bộ phận, nhân sự bảo vệ dữ liệu cá nhân;";cung cấp quy trình nội bộ để xử lý dữ liệu cá nhân;Danh sách người dùng hệ thống xử lý dữ liệu cá nhân;B;Nghị định số 356/2025/NĐ-CP;Điều 12.2.a;;;;;;;;;;;;;;;
21;III.3 Điện toán đám mây;;Tính co giãn (Elasticity), một trong những đặc điểm cốt lõi của điện toán đám mây mang ý nghĩa gì? ;Bảo mật, tăng cường an toàn thông tin;Cho phép tự động tăng hoặc giảm tài nguyên dựa trên nhu cầu sử dụng của hệ thống;Dùng bao nhiêu, thanh toán bấy nhiêu;Linh hoạt trong cách tính chi phí dịch vụ;B;;;;;;;;;;;;;;;;;
22;III.3 Điện toán đám mây;;Mô hình dịch vụ điện toán đám mây nào cho người dùng thuê các tài nguyên hạ tầng như máy chủ, lưu trữ và mạng qua internet?;SaaS (Software as a Service);PaaS (Platform as a Service);IaaS (Infrastructure as a Service);DBaaS (Database as a Service);C;;;;;;;;;;;;;;;;;
23;III.3 Điện toán đám mây;;Đặc điểm cốt lõi của điện toán đám mây cho phép hệ thống tự động tăng hoặc giảm tài nguyên dựa trên nhu cầu sử dụng?;Tính bảo mật (Security);Tính co giãn (Elasticity);Tính cố định (Fixed Capacity);Tính thủ công (Manual Provisioning);B;;;;;;;;;;;;;;;;;
24;III.3 Điện toán đám mây;III.3. Điện toán đám mây;Trong môi trường điện toán đám mây, một hệ thống AI tự động mở rộng phạm vi xử lý dữ liệu cá nhân vượt ngoài mục đích ban đầu và chưa thực hiện phân loại rủi ro cũng như kiểm soát truy cập phù hợp. Hành vi này vi phạm yêu cầu nào trong bảo vệ dữ liệu cá nhân?;Yêu cầu bảo đảm an toàn, bảo mật dữ liệu trong quá trình lưu trữ và truyền tải;Yêu cầu tối ưu hóa hiệu năng hệ thống và khả năng xử lý dữ liệu lớn;Yêu cầu xử lý dữ liệu cá nhân đúng mục đích và giới hạn trong phạm vi cần thiết;Yêu cầu bảo đảm tính liên tục và sẵn sàng của dịch vụ điện toán đám mây;C;Luật Bảo vệ dữ liệu cá nhân số 91/2025/QH15;Điều 30;;;;;;;;;;;;;;;
25;III.4 RPA - Tự động hóa quyết định;;RPA (Robotic Process Automation) là gì? ;Công nghệ phân tích dữ liệu lớn;Công nghệ dùng robot phần mềm để tự động hóa quy trình lặp lại ;Công cụ thiết kế giao diện;Hệ thống lưu trữ số;B;RPA (Robotic Process Automation) là robot phần mềm tự động hóa các bước thao tác lặp lại theo quy tắc rõ ràng.;;;;;;;;;;;;;;;;
26;III.4 RPA - Tự động hóa quyết định;;RPA giúp ngân hàng giảm thiểu rủi ro vận hành ở điểm nào?;Rút ngắn thời gian phê duyệt chính sách nội bộ;Thay thế hoàn toàn hệ thống core banking;Giảm lỗi do nhân viên thao tác thủ công lặp lại ;Mở rộng mạng lưới chi nhánh giao dịch;C;RPA tự động thực hiện các thao tác lặp lại theo đúng quy tắc đã lập trình, giúp loại bỏ lỗi phát sinh do con người khi nhập liệu, đối soát hoặc xử lý hồ sơ. Nhờ đó, rủi ro vận hành giảm và quy trình trở nên ổn định, chính xác hơn.;;;;;;;;;;;;;;;;
27;III.4 RPA - Tự động hóa quyết định;;RPA (Robotic Process Automation) phù hợp nhất với loại tác vụ nào trong hoạt động ngân hàng?;Quy trình đòi hỏi phán đoán chuyên môn phức tạp;Các tác vụ mang tính lặp lại, quy trình cố định và có quy tắc rõ ràng ;Quy trình sáng tạo nội dung hoặc ra quyết định nghiệp vụ;Quy trình đòi hỏi gặp trực tiếp khách hàng;B;RPA hoạt động tốt nhất khi quy trình ổn định, có bước xử lý cố định, chẳng hạn: nhập liệu, đối soát, xử lý hồ sơ, kiểm tra tính hợp lệ. Những tác vụ cần phán đoán hoặc sáng tạo không phù hợp với RPA vì robot không thể tự đưa ra quyết định nghiệp vụ.;;;;;;;;;;;;;;;;
28;III.4 RPA - Tự động hóa quyết định;;Khi RPA (Robotic Process Automation) thực hiện tác vụ nội bộ, tổ chức tín dụng phải áp dụng nguyên tắc nào để giảm gian lận?;Giao toàn bộ quyền quản trị hệ thống cho tài khoản RPA;Không cần phân quyền vì RPA hoạt động tự động;Cấp quyền tối thiểu cần thiết và kiểm soát chặt truy cập ;Chỉ giám sát RPA khi có sự cố phát sinh;C;TT 09 áp dụng nguyên tắc least privilege cho cả người và robot, nhằm giảm nguy cơ gian lận nội bộ.;;;;;;;;;;;;;;;;
29;III.4 RPA - Tự động hóa quyết định;;RPA (Robotic Process Automation) giúp cải thiện trải nghiệm khách hàng bằng cách nào?;Tăng số lần khách hàng phải xác minh thông tin;Thực hiện quy trình tự động, nhanh và chính xác hơn, giảm thời gian chờ ;Yêu cầu khách hàng cung cấp thêm giấy tờ;Chuyển toàn bộ yêu cầu sang xử lý thủ công;B;RPA tự động hóa những tác vụ lặp lại như kiểm tra hồ sơ, nhập liệu, đối soát…, giúp ngân hàng xử lý yêu cầu nhanh – chính xác – ít sai sót, từ đó rút ngắn thời gian phục vụ và nâng cao sự hài lòng của khách hàng.;;;;;;;;;;;;;;;;
30;III.4 RPA - Tự động hóa quyết định;;Trong hoạt động hỗ trợ khách hàng, RPA (Robotic Process Automation)  đóng vai trò gì?;Xử lý được mọi yêu cầu phức tạp của khách hàng mà không cần nhân viên hỗ trợ;Buộc khách hàng chuyển sang kênh tự phục vụ;Tự động trả lời các yêu cầu đơn giản, giúp nhân viên tập trung xử lý yêu cầu khó ;Giảm số lượng kênh hỗ trợ khách hàng;C;RPA xử lý các yêu cầu lặp lại (tra cứu thông tin, kiểm tra trạng thái…), giúp nhân sự tập trung hỗ trợ vấn đề chuyên sâu → nâng cao chất lượng dịch vụ.;;;;;;;;;;;;;;;;
31;III.4 RPA - Tự động hóa quyết định;;Vì sao ngân hàng cần ưu tiên tự động hóa quy trình nội bộ trong chuyển đổi số?;Để giảm thời gian xử lý và nâng cao độ chính xác;Tăng bước đối chiếu giấy tờ;Bắt buộc mọi giao dịch phải đến quầy;Để giảm mức độ ứng dụng công nghệ;A;Theo QĐ 3579/QĐ-NHNN về Chiến lược chuyển đổi số ngành Ngân hàng, tự động hóa quy trình nội bộ là ưu tiên hàng đầu nhằm giảm thời gian xử lý, nâng cao độ chính xác, tiết kiệm chi phí vận hành và cải thiện trải nghiệm khách hàng;;;;;;;;;;;;;;;;
32;III.5 API, Open Banking;;Open banking có nghĩa là hoạt động ngân hàng mở. Theo bạn, thứ gì được mở?;Giao tiếp;Dữ liệu và dịch vụ ngân hàng thông qua API;Kho tiền;Quy trình;B;"Bản chất của Open Banking là việc ""mở"" các kho dữ liệu của ngân hàng thông qua API để các bên thứ ba có thể tiếp cận (khi khách hàng cho phép), thay vì dữ liệu bị đóng kín chỉ trong nội bộ ngân hàng như truyền thống.";;;;;;;;;;;;;;;;
33;III.5 API, Open Banking;;Trong hệ sinh thái hoạt động ngân hàng mở, khách hàng sẽ được phục vụ nhanh hơn, được lựa chọn nhiều nền tảng cung cấp dịch vụ ngân hàng hơn. Điều này có được là do?;Các ngân hàng bán lại mảng dịch vụ khách hàng cho các nền tảng bán hàng trực tuyến;Bên thứ ba mua lại mảng dịch vụ khách hàng của Ngân hàng;Bên thứ ba được tiếp cận trực tiếp thông tin mà các ngân hàng chia sẻ thông qua bộ giao diện lập trình ứng dụng - API.;Các nền tảng bán hàng trực tuyến thuê lại mảng dịch vụ khách hàng của các ngân hàng;C;Khi Fintech có quyền truy cập trực tiếp vào dữ liệu ngân hàng qua API, họ có thể xây dựng các giải pháp tài chính tức thời, giúp khách hàng thực hiện dịch vụ ngay trên ứng dụng yêu thích của mình mà không cần phải chuyển qua lại giữa nhiều hệ thống.;;;;;;;;;;;;;;;;
34;III.5 API, Open Banking;;Tuyên bố nào sau đây là không chính xác?;Ngân hàng sử dụng giao diện lập trình ứng dụng API để kiểm soát việc chia sẻ dữ liệu cho bên thứ ba;Ngân hàng cung cấp giao diện lập trình ứng dụng API để cho phép bên thứ ba truy vấn dữ liệu mà ngân hàng chia sẻ.;Bên thứ ba sử dụng giao diện lập trình ứng dụng API để truy cập, truy vấn dữ liệu mà ngân hàng chia sẻ.;Ngân hàng sử dụng giao diện lập trình ứng dụng API để chuyển dữ liệu khách hàng cho bên thứ ba một cách an toàn.;D;"Tuyên bố này không chính xác vì API không đơn thuần là ""chuyển dữ liệu đi"". Thực tế, API đóng vai trò là một giao diện truy vấn có kiểm soát; ngân hàng không ""giao đứt"" dữ liệu mà chỉ cho phép các công ty tài chính truy cập và lấy đúng phần thông tin cần thiết dưới sự giám sát chặt chẽ của hệ thống bảo mật.";;;;;;;;;;;;;;;;
35;III.5 API, Open Banking;;API trong lĩnh vực ngân hàng được hiểu đơn giản là gì?;Một loại thẻ ngân hàng điện tử;Một cách để các hệ thống phần mềm kết nối và trao đổi dữ liệu với nhau;Một loại tài khoản tiết kiệm trực tuyến;Một phần mềm diệt virus cho ngân hàng;B;API là cầu nối giúp các hệ thống khác nhau giao tiếp với nhau. Trong ngân hàng, API cho phép ứng dụng bên ngoài hoặc hệ thống nội bộ kết nối tới dịch vụ ngân hàng để lấy thông tin hoặc thực hiện các chức năng được cho phép.;;;;;;;;;;;;;;;;
36;III.5 API, Open Banking;;Open Banking là gì?;Ngân hàng mở cửa làm việc 24/7;Mô hình cho phép chia sẻ dữ liệu hoặc dịch vụ ngân hàng một cách an toàn cho bên thứ ba khi khách hàng đồng ý;Hình thức mở thêm nhiều chi nhánh ngân hàng;Dịch vụ miễn toàn bộ phí chuyển tiền;B;Open Banking không có nghĩa là mở cửa ngân hàng theo nghĩa vật lý, mà là mô hình cho phép ngân hàng chia sẻ dữ liệu hoặc dịch vụ qua API cho các bên thứ ba, nhưng phải có sự đồng ý của khách hàng và tuân thủ yêu cầu bảo mật.;;;;;;;;;;;;;;;;
37;III.5 API, Open Banking;;Lợi ích phổ biến của Open Banking đối với khách hàng là gì?;Cho phép khách hàng truy cập và quản lý nhiều dịch vụ tài chính từ các nhà cung cấp khác nhau;Giúp ngân hàng giảm chi phí vận hành nên có thể tự động cung cấp dịch vụ tốt hơn cho khách hàng;Cho phép các bên thứ ba truy cập dữ liệu tài khoản mà không cần sự tham gia của ngân hàng;Tăng khả năng kiểm soát toàn bộ dữ liệu tài chính của khách hàng bởi một tổ chức duy nhất;A;Open Banking giúp khách hàng có trải nghiệm thuận tiện hơn, ví dụ quản lý nhiều tài khoản, thanh toán, xem lịch sử giao dịch hoặc sử dụng các dịch vụ tài chính cá nhân trên ứng dụng của bên thứ ba được kết nối hợp pháp với ngân hàng.;;;;;;;;;;;;;;;;
38;III.5 API, Open Banking;;Biện pháp nào giúp bảo vệ an toàn khi sử dụng API ngân hàng?;Chia sẻ mật khẩu tài khoản cho mọi ứng dụng để tiện đăng nhập;Bỏ qua bước xác thực để thao tác nhanh hơn;Sử dụng xác thực, phân quyền truy cập và mã hóa dữ liệu;Cho phép mọi hệ thống truy cập API mà không cần kiểm tra;C;API ngân hàng cần được bảo vệ bằng các biện pháp như xác thực người dùng hoặc hệ thống, phân quyền đúng phạm vi truy cập và mã hóa dữ liệu khi truyền nhận. Đây là những nguyên tắc cơ bản để giảm rủi ro lộ lọt thông tin và truy cập trái phép.;;;;;;;;;;;;;;;;
39;III.6 Công nghệ thanh toán không dùng tiền mặt;;Trong bối cảnh thúc đẩy thanh toán số và giảm phụ thuộc vào tiền mặt, mục tiêu cốt lõi của việc phát triển thanh toán điện tử trong nền kinh tế là gì?;Tăng số lượng giao dịch điện tử trong hệ thống ngân hàng;Giảm chi phí vận hành cho tổ chức tài chính;Thúc đẩy phát triển kinh tế số thông qua phổ cập dịch vụ số và giảm phụ thuộc tiền mặt;Mở rộng hạ tầng thanh toán tại khu vực đô thị; C;Nghị quyết 57-NQ/TW và Luật Giao dịch điện tử 2023;"Nghị quyết 57-NQ/TW
Định hướng: phát triển kinh tế số; nâng cao hiệu quả quản trị và minh bạch
Luật Giao dịch điện tử 2023
Điều 5, 6: thúc đẩy giao dịch điện tử bảo đảm an toàn, tin cậy → nền tảng cho thanh toán số";;;;;;;;;;;;;;;
40;III.6 Công nghệ thanh toán không dùng tiền mặt;;"Ngân hàng đã triển khai đầy đủ các phương thức thanh toán không dùng tiền mặt (QR, contactless, mobile banking), nhưng tỷ lệ sử dụng thực tế của khách hàng vẫn thấp.
Theo bạn, yếu tố đầu tiên cần xem lại là gì?";Tính hiện đại của công nghệ thanh toán;Mức độ thuận tiện trong trải nghiệm người dùng, làm thay đổi hành vi người dùng;Tính chính xác của kỹ thuật sử dụng;Mức độ tin cậy của đối tác cung cấp giải pháp; B;;;;;;;;;;;;;;;;;
41;III.6 Công nghệ thanh toán không dùng tiền mặt;;Trong hoạt động thanh toán không dùng tiền mặt, khi xảy ra tranh chấp, việc xác định một giao dịch điện tử có giá trị pháp lý hay không cần căn cứ trực tiếp vào văn bản nào dưới đây?;Nghị quyết số 57-NQ/TW ngày 22/12/2024 của Bộ Chính trị về đột phá phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số quốc gia;Luật Giao dịch điện tử số 20/2023/QH15;Nghị định quản lý, kết nối và chia sẻ dữ liệu số của cơ quan nhà nước số 47/2020/NĐ-CP;Quyết định 06/QĐ-TTg ngày 06/01/2022 của Thủ tướng Chính phủ phê duyệt Đề án “Phát triển ứng dụng dữ liệu về dân cư, định danh và xác thực điện tử phục vụ chuyển đổi số quốc gia giai đoạn 2022 - 2025, tầm nhìn đến năm 2030” ; B;Luật Giao dịch điện tử 2023;"Luật Giao dịch điện tử 2023
Điều 8: Quy định về giá trị pháp lý của thông điệp dữ liệu
Điều 9: Điều kiện để thông điệp dữ liệu có giá trị như văn bản
Điều 6: Nguyên tắc: an toàn, tin cậy trong giao dịch điện tử";;;;;;;;;;;;;;;
42;III.6 Công nghệ thanh toán không dùng tiền mặt;;"Một khách hàng thực hiện giao dịch thanh toán điện tử, tài khoản đã bị trừ tiền nhưng giao dịch không thành công. Ngân hàng tiếp nhận khiếu nại nhưng xử lý chậm, không cung cấp thông tin rõ ràng về trạng thái giao dịch.
Ưu tiên quan trọng nhất cần đảm bảo là gì?";Tăng số lượng nhân sự xử lý khiếu nại để giảm backlog;Đảm bảo minh bạch thông tin, xử lý kịp thời và bảo vệ quyền lợi hợp pháp của khách hàng;Tập trung tối ưu hệ thống kỹ thuật để tránh lỗi trong tương lai;Tăng cường truyền thông để giảm khiếu nại; B;"Nghị quyết 57-NQ/TW  
Luật Giao dịch điện tử 2023";"- Luật Giao dịch điện tử 2023
Điều 6 – Nguyên tắc
Bảo đảm: an toàn; tin cậy; bảo vệ quyền, lợi ích hợp pháp của các bên
- Nghị quyết 57-NQ/TW
Định hướng: nâng cao chất lượng dịch vụ số lấy người dân làm trung tâm
tăng niềm tin vào dịch vụ số";;;;;;;;;;;;;;;
43;III.6 Công nghệ thanh toán không dùng tiền mặt;;Trong hệ thống văn bản pháp lý hiện hành, văn bản nào đóng vai trò định hướng chiến lược cấp cao cho phát triển kinh tế số tại Việt Nam, trong đó thanh toán số được xem là một thành phần quan trọng của hệ sinh thái số?;Luật Giao dịch điện tử số 20/2023/QH15;Nghị quyết số 57-NQ/TW ngày 22/12/2024 của Bộ Chính trị về đột phá phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số quốc gia;Nghị định quản lý, kết nối và chia sẻ dữ liệu số của cơ quan nhà nước số 47/2020/NĐ-CP;Quyết định 06/QĐ-TTg ngày 06/01/2022 của Thủ tướng Chính phủ phê duyệt Đề án “Phát triển ứng dụng dữ liệu về dân cư, định danh và xác thực điện tử phục vụ chuyển đổi số quốc gia giai đoạn 2022 - 2025, tầm nhìn đến năm 2030” ; B;Nghị quyết 57-NQ/TW;"Nghị quyết 57-NQ/TW
Là văn bản cấp chiến lược của Trung ương
Định hướng: phát triển kinh tế số; phát triển hệ sinh thái số; nâng cao hiệu quả, chất lượng dịch vụ số";;;;;;;;;;;;;;;
44;III.6 Công nghệ thanh toán không dùng tiền mặt;;"Một ngân hàng ghi nhận số lượng giao dịch điện tử tăng nhanh trong thời gian qua. Tuy nhiên, giá trị trung bình mỗi giao dịch thấp và khách hàng vẫn duy trì thói quen sử dụng tiền mặt cho các giao dịch có giá trị lớn.
Theo bạn, vấn đề cốt lõi nhất cần được giải quyết là gì?";Số lượng kênh thanh toán điện tử chưa đủ đa dạng;Trải nghiệm và mức độ tin cậy của dịch vụ chưa đủ để thay thế tiền mặt trong các giao dịch giá trị cao;Ngân hàng chưa triển khai đủ chương trình khuyến mại;"
Hạ tầng công nghệ chưa đáp ứng được khối lượng giao dịch lớn"; B;Nghị quyết 57-NQ/TW;"
Định hướng phát triển kinh tế số: Nâng cao chất lượng dịch vụ số;  Tăng niềm tin của người dân vào dịch vụ số; Lấy người dùng làm trung tâm";;;;;;;;;;;;;;;
45;III.6 Công nghệ thanh toán không dùng tiền mặt;;"Trong một giao dịch thanh toán điện tử liên ngân hàng, lệnh thanh toán được xử lý qua nhiều thành phần như: tổ chức cung ứng dịch vụ thanh toán (ngân hàng, trung gian thanh toán) và hệ thống thanh toán (ví dụ: hệ thống chuyển mạch, bù trừ).
Khi xảy ra lỗi giao dịch và không xác định rõ trách nhiệm giữa các bên tham gia, vấn đề cốt lõi cần được xử lý là gì?";Nâng cấp hạ tầng kỹ thuật của hệ thống thanh toán;Thiết lập cơ chế phân vai, trách nhiệm và nghĩa vụ của từng bên trong quy trình xử lý giao dịch và nâng cấp hạ tầng kỹ thuật của hệ thống thanh toán;Tăng số lượng kênh hỗ trợ khách hàng;Tăng cường truyền thông để giảm khiếu nại; B;Luật Giao dịch điện tử 2023;"Luật Giao dịch điện tử 2023

Điều 5: Trách nhiệm của các bên đối với thông điệp dữ liệu
Điều 8–9: Giá trị pháp lý và điều kiện đảm bảo → cơ sở xác định trách nhiệm khi có tranh chấp";;;;;;;;;;;;;;;
46;III.6 Công nghệ thanh toán không dùng tiền mặt;;"Ngân hàng triển khai thanh toán mã QR, nhưng mỗi tổ chức sử dụng một chuẩn mã khác nhau, dẫn đến không thể thanh toán chéo giữa các hệ thống.
Vấn đề cốt lõi cần xử lý là gì?";Tăng số lượng điểm chấp nhận thanh toán QR (ĐVCNTT);Chuẩn hóa và thống nhất tiêu chuẩn mã QR để đảm bảo khả năng liên thông giữa các hệ thống thanh toán;Tăng chương trình khuyến mại để thu hút người dùng;Nâng cấp hạ tầng xử lý giao dịch; B;Thông tư 19/2016/TT-NHNN;"Thông tư 19/2016/TT-NHNN
Điều 4: Nguyên tắc đảm bảo an toàn, hiệu quả trong hoạt động thanh toán
Các quy định về: kết nối hệ thống thanh toán; đảm bảo xử lý giao dịch thông suốt";;;;;;;;;;;;;;;
47;III.7 Sinh trắc học (Biometrics);III.7 Sinh trắc học (Biometrics);Theo Thông tư 50/2024/TT-NHNN được sửa đổi, bổ sung tại TT77/2025/TT-NHNN, giải pháp phát hiện tấn công giả mạo thông tin sinh trắc học (Presentation Attack Detection - PAD) của vật thể sống phải đáp ứng tiêu chuẩn quốc tế nào và ở cấp độ tối thiểu nào?;Tiêu chuẩn NIST SP 800-63B cấp độ 1 (Level 1).;Tiêu chuẩn ISO 30107 cấp độ 2 (Level 2) hoặc tương đương.;Tiêu chuẩn PCI DSS phiên bản 4.0 về bảo mật thẻ thanh toán.;Tiêu chuẩn ISO 27001 về quản lý an toàn thông tin.;B;TT số 77/2025/TT-NHNN ngày 31/12/2025 của Thống đốc NHNN.;Điều 7, khoản 1 (sửa đổi điểm c khoản 5 Điều 11);;;;;;;;;;;;;;;
48;III.7 Sinh trắc học (Biometrics);;Sinh trắc học (Biometrics) là gì?;Công nghệ lưu trữ tài liệu trên môi trường số;Công nghệ nhận dạng dựa trên đặc điểm sinh học của mỗi cá nhân ;Phương thức mã hóa dữ liệu truyền thống;Hệ thống đo lường hiệu suất người lao động;B;;;;;;;;;;;;;;;;;
49;III.7 Sinh trắc học (Biometrics);;Đặc điểm nào sau đây là ví dụ của sinh trắc học sinh lý (physiological biometrics)?;Thói quen gõ phím;Cách di chuyển chuột trên màn hình;Khuôn mặt hoặc vân tay ;Mẫu sử dụng ứng dụng hàng ngày;C;ISO/IEC 2382-37:2022;;;;;;;;;;;;;;;;
50;III.7 Sinh trắc học (Biometrics);;Lợi ích lớn nhất của sinh trắc học (biometrics) trong xác thực điện tử là gì?;Giảm nhu cầu sử dụng dịch vụ trực tuyến;Tăng độ chính xác và hạn chế giả mạo danh tính ;Giảm số hóa trong hoạt động ngân hàng;Rút ngắn quy trình phê duyệt tín dụng;B;;;;;;;;;;;;;;;;;
51;III.7 Sinh trắc học (Biometrics);;Sinh trắc học hỗ trợ thực hiện nhiệm vụ nào nêu trong Đề án “Phát triển ứng dụng dữ liệu về dân cư, định danh và xác thực điện tử phục vụ chuyển đổi số quốc gia giai đoạn 2022 - 2025, tầm nhìn đến năm 2030” ban hành tại Quyết định 06/QĐ-TTg ngày 06/01/2022 của Thủ tướng Chính phủ;Tăng tỷ trọng giao dịch truyền thống tại quầy;Phát triển các ứng dụng trên nền tảng hệ thống định danh và xác thực điện tử với các ứng dụng cốt lõi như: Ví điện tử, thanh toán không dùng tiền mặt, chứng khoán, điện, nước... ;Giảm mức độ ứng dụng dữ liệu trong quản lý khách hàng;Phát triển nền tảng tích hợp dữ liệu, thông tin, tri thức khoa học, công nghệ quốc gia, Hệ tri thức Việt số hóa, ứng dụng AI hỗ trợ nghiên cứu khoa học, công nghệ và đổi mới sáng tạo.;B;QĐ 06/QĐ-TTg ngày 06/01/2022;Điều 1. Mục II/2/b;;;;;;;;;;;;;;;
52;III.7 Sinh trắc học (Biometrics);;Dùng sinh trắc học khi mở tài khoản có lợi ích gì?;Kéo dài thời gian xử lý hồ sơ mở tài khoản;Cho phép xác thực danh tính khách hàng tự động (eKYC);Tăng số lượng giấy tờ khách hàng cần nộp;Giảm độ chính xác trong nhận diện khách hàng;B;Thông tư 50/2024/TT-NHNN (quy định về an toàn, bảo mật trong cung cấp dịch vụ ngân hàng điện tử, bao gồm xác thực sinh trắc học và eKYC);;;;;;;;;;;;;;;;
53;III.7 Sinh trắc học (Biometrics);;"Khách hàng thực hiện chuyển khoản 12 triệu đồng trên Mobile Banking cho một tài khoản khác. Hệ thống yêu cầu xác thực mật khẩu dùng một lần (One Time Password - OTP) và quyét xác thực khuôn mặt. Khách hàng phản ánh “trước đây chỉ cần OTP, sao giờ phải thêm khuôn mặt?"". Giải thích nào sau đây là đúng?";Giao dịch trên 10 triệu thuộc giao dịch loại C, bắt buộc OTP và kết hợp khớp đúng thông tin sinh trắc học;Hệ thống đang gặp lỗi nên tự động yêu cầu OTP bổ sung;Chỉ cần OTP là đủ, sinh trắc học không bắt buộc;Các giao dịch từ 5 triệu trở lên đều phải dùng OTP và khuôn mặt;A;Thông tư 50/2024/TT-NHNN;;;;;;;;;;;;;;;;
54;III.7 Sinh trắc học (Biometrics);;Theo Thông tư 50/2024/TT-NHNN, hình thức khớp đúng thông tin sinh trắc học thiết bị phải đáp ứng yêu cầu trong thời gian bao lâu?;Tối thiểu 02 phút;Tối đa 02 phút;Tối thiểu 05 phút;Tối đa 05 phút;B;Thông tư 50/2024/TT-NHNN;Điều 11 khoản 6/b;;;;;;;;;;;;;;;
1;IV.1.Khung pháp lý chuyển đổi số, chuyển đổi số ngành ngân hàng;IV.1;Theo Luật Chuyển đổi số 2025, đâu là nguyên tắc chuyển đổi số?;Lấy công nghệ làm trung tâm.;Lấy người sử dụng làm trung tâm.;Lấy dữ liệu làm trung tâm.;Lấy trí tuệ nhân tạo (AI) làm trung tâm.;B;Luật Chuyển đổi số 2025 (Luật số 148/2025/QH15) - Nguyên tắc chuyển đổi số;Điều 6;;;;;;;;;;;;;;;
2;IV.1.Khung pháp lý chuyển đổi số, chuyển đổi số ngành ngân hàng;IV.1;Hành vi nào sau đây bị nghiêm cấm trong hoạt động chuyển đổi số và phát triển nền kinh tế số?;Khai thác dữ liệu mở của cơ quan nhà nước để nghiên cứu.;Ứng dụng trí tuệ nhân tạo (AI) để phân tích hành vi khách hàng có sự đồng ý của họ.;Thu thập, sử dụng, chia sẻ, mua, bán, khai thác dữ liệu số trái quy định của pháp luật.;Sử dụng điện toán đám mây của nhà cung cấp nước ngoài.;C;Luật Chuyển đổi số 2025 (Luật số 148/2025/QH15) -Các hành vi bị nghiêm cấm;Điều 5;;;;;;;;;;;;;;;
3;IV.1.Khung pháp lý chuyển đổi số, chuyển đổi số ngành ngân hàng;IV.1;Trước khi chính thức cấp quyền kết nối Open API (Go-live) trên môi trường thật cho một đối tác, ngân hàng bắt buộc phải yêu cầu đối tác đó thực hiện quy trình nào sau đây?;Ký quỹ một khoản tiền mặt tại ngân hàng để bảo đảm thanh toán.;Bàn giao toàn bộ mã nguồn (source code) của ứng dụng đối tác cho ngân hàng kiểm duyệt.;Phải được Ngân hàng Nhà nước cấp một Giấy phép kết nối Open API riêng biệt.;"Kết nối và kiểm thử thành công trên ""Hệ thống thử nghiệm Open API"" (Sandbox/Testing) do ngân hàng cung cấp.";D;Thông tư 64/2024/TT-NHNN - Quy định bắt buộc các ngân hàng phải xây dựng môi trường thử nghiệm và đối tác phải vượt qua bước kiểm thử này trước khi Go-live.;Quy định về Hệ thống thử nghiệm;;;;;;;;;;;;;;;
4;IV.1.Khung pháp lý chuyển đổi số, chuyển đổi số ngành ngân hàng;IV.1;Theo Quyết định 2629/QĐ-TTg ngày 01/12/2025, mục tiêu cụ thể giai đoạn 2028-2030 của Chương trình phát triển Chính phủ số, 100% bộ, ngành, địa phương đạt cấp độ mấy trong trưởng thành về quản trị dữ liệu?;Cấp độ 3;Cấp độ 4;Cấp độ 5;Cấp độ 6;C;Quyết định 2629/QĐ-TTg ngày 01/12/2025 phê duyệt Chương trình phát triển Chính phủ số.;Mục 2.b;;;;;;;;;;;;;;;
